date,feed_gas,condensate,wpnb_gas,wpnb_oil,planned_shutdown,unplanned_shutdown,anomaly
2020-01-01,1420.94,6139.0,1370.82,6045.32,1,1,False
2020-01-02,1354.31,5851.0,1370.82,6045.32,1,1,False
2020-01-03,1414.2,6109.0,1370.82,6045.32,1,1,False
2020-01-04,1350.36,5834.0,1370.82,6045.32,1,1,False
2020-01-05,1387.07,5992.0,1370.82,6045.32,1,1,False
2020-01-06,1375.18,5941.0,1370.82,6045.32,1,1,False
2020-01-07,1412.75,5977.0,1370.82,6045.32,1,1,False
2020-01-08,1434.83,5988.0,1370.82,6045.32,1,1,False
2020-01-09,1400.91,5957.0,1370.82,6045.32,1,1,False
2020-01-10,1389.82,5953.0,1370.82,6045.32,1,1,False
2020-01-11,1369.48,5950.0,1370.82,6045.32,1,1,False
2020-01-12,1397.9,6088.0,1370.82,6045.32,1,1,False
2020-01-13,1426.17,6203.0,1370.82,6045.32,1,1,False
2020-01-14,1387.94,6027.0,1370.82,6045.32,1,1,False
2020-01-15,1345.28,5851.0,1370.82,6045.32,1,1,False
2020-01-16,1338.0,5838.0,1370.82,6045.32,1,1,False
2020-01-17,1306.73,5684.0,1370.82,6045.32,1,1,False
2020-01-18,1272.19,5500.0,1370.82,6045.32,1,1,False
2020-01-19,1289.45,5599.0,1370.82,6045.32,1,1,False
2020-01-20,1310.23,5646.0,1370.82,6045.32,1,1,False
2020-01-21,1342.41,5826.0,1370.82,6045.32,1,1,False
2020-01-22,1349.93,5856.0,1370.82,6045.32,1,1,False
2020-01-23,1358.93,5882.0,1370.82,6045.32,1,1,False
2020-01-24,1355.16,5839.0,1370.82,6045.32,1,1,False
2020-01-25,1371.1,5935.0,1370.82,6045.32,1,1,False
2020-01-26,1370.13,5918.0,1370.82,6045.32,1,1,False
2020-01-27,1349.73,5845.0,1370.82,6045.32,1,1,False
2020-01-28,1271.4,5536.0,1370.82,6045.32,1,1,False
2020-01-29,1289.08,5574.0,1370.82,6045.32,1,1,False
2020-01-30,1308.83,5655.0,1370.82,6045.32,1,1,False
2020-01-31,1281.21,5574.0,1370.82,6045.32,1,1,False
2020-02-01,1312.45,5694.0,1370.82,6045.32,1,1,False
2020-02-02,1358.09,5861.0,1370.82,6045.32,1,1,False
2020-02-03,1292.92,5630.0,1370.82,6045.32,1,1,False
2020-02-04,1290.05,5628.0,1370.82,6045.32,1,1,False
2020-02-05,1353.66,5894.0,1370.82,6045.32,1,1,False
2020-02-06,1383.22,6009.0,1370.82,6045.32,1,1,False
2020-02-07,1398.81,6069.0,1370.82,6045.32,1,1,False
2020-02-08,1360.04,5903.0,1370.82,6045.32,1,1,False
2020-02-09,1342.36,5826.0,1370.82,6045.32,1,1,False
2020-02-10,1366.84,5932.0,1370.82,6045.32,1,1,False
2020-02-11,1300.73,5645.0,1370.82,6045.32,1,1,False
2020-02-12,1303.57,5658.0,1370.82,6045.32,1,1,False
2020-02-13,1323.74,5745.0,1370.82,6045.32,1,1,False
2020-02-14,1336.43,5800.0,1370.82,6045.32,1,1,False
2020-02-15,1305.82,5807.0,1370.82,6045.32,1,1,False
2020-02-16,1287.28,5445.0,1370.82,6045.32,1,1,False
2020-02-17,1276.54,5541.0,1370.82,6045.32,1,1,False
2020-02-18,1316.09,5503.0,1370.82,6045.32,1,1,False
2020-02-19,1240.89,5873.724137931034,1370.82,6045.32,1,0,True
2020-02-20,731.99,5873.724137931034,1370.82,6045.32,1,0,True
2020-02-21,880.99,5873.724137931034,1370.82,6045.32,1,0,True
2020-02-22,1080.05,3559.0,1370.82,6045.32,1,1,False
2020-02-23,1326.74,4692.0,1370.82,6045.32,1,1,False
2020-02-24,1395.04,5199.0,1370.82,6045.32,1,1,False
2020-02-25,1128.01,5873.724137931034,1370.82,6045.32,1,0,True
2020-02-26,697.9,5873.724137931034,1370.82,6045.32,1,0,True
2020-02-27,711.73,5873.724137931034,1370.82,6045.32,1,0,True
2020-02-28,845.74,5873.724137931034,1370.82,6045.32,1,0,True
2020-02-29,1223.58,4069.0,1370.82,6045.32,1,1,False
2020-03-01,1341.2,5754.0,1370.82,6045.32,1,1,False
2020-03-02,1353.96,5849.0,1370.82,6045.32,1,1,False
2020-03-03,1319.29,5642.0,1370.82,6045.32,1,1,False
2020-03-04,1335.03,5713.0,1370.82,6045.32,1,1,False
2020-03-05,1346.08,5856.0,1370.82,6045.32,1,1,False
2020-03-06,1325.5,5712.0,1370.82,6045.32,1,1,False
2020-03-07,1390.88,5973.0,1370.82,6045.32,1,1,False
2020-03-08,1368.9,5877.0,1370.82,6045.32,1,1,False
2020-03-09,1315.91,5724.0,1370.82,6045.32,1,1,False
2020-03-10,1335.84,5834.0,1370.82,6045.32,1,1,False
2020-03-11,1357.58,5959.0,1370.82,6045.32,1,1,False
2020-03-12,1281.93,5532.0,1370.82,6045.32,1,1,False
2020-03-13,1343.79,5787.0,1370.82,6045.32,1,1,False
2020-03-14,1371.2,6003.0,1370.82,6045.32,1,1,False
2020-03-15,1373.51,6008.0,1370.82,6045.32,1,1,False
2020-03-16,1382.39,5813.0,1370.82,6045.32,1,1,False
2020-03-17,1366.69,5785.0,1370.82,6045.32,1,1,False
2020-03-18,1373.6,5768.0,1370.82,6045.32,1,1,False
2020-03-19,1347.44,5634.0,1370.82,6045.32,1,1,False
2020-03-20,1360.16,5720.0,1370.82,6045.32,1,1,False
2020-03-21,1393.66,5853.0,1370.82,6045.32,1,1,False
2020-03-22,1417.9,5894.0,1370.82,6045.32,1,1,False
2020-03-23,1394.4,5870.0,1370.82,6045.32,1,1,False
2020-03-24,1405.82,6124.0,1370.82,6045.32,1,1,False
2020-03-25,1389.53,5911.0,1370.82,6045.32,1,1,False
2020-03-26,1373.65,5991.0,1370.82,6045.32,1,1,False
2020-03-27,1399.37,6140.0,1370.82,6045.32,1,1,False
2020-03-28,1376.4,5972.0,1370.82,6045.32,1,1,False
2020-03-29,1358.5,5665.0,1370.82,6045.32,1,1,False
2020-03-30,1382.29,5703.0,1370.82,6045.32,1,1,False
2020-03-31,1353.85,4894.0,1370.82,6045.32,1,1,False
2020-04-01,1345.63,5910.0,1370.82,6045.32,1,1,False
2020-04-02,1352.97,5832.0,1370.82,6045.32,1,1,False
2020-04-03,1353.58,5824.0,1370.82,6045.32,1,1,False
2020-04-04,1353.19,5728.0,1370.82,6045.32,1,1,False
2020-04-05,1390.44,5854.0,1370.82,6045.32,1,1,False
2020-04-06,1310.34,5765.089655172413,1370.82,6045.32,1,0,True
2020-04-07,797.44,5765.089655172413,1370.82,6045.32,1,0,True
2020-04-08,1253.8,5325.0,1370.82,6045.32,1,1,False
2020-04-09,1324.7,5689.0,1370.82,6045.32,1,1,False
2020-04-10,1332.27,5856.0,1370.82,6045.32,1,1,False
2020-04-11,1328.42,5730.0,1370.82,6045.32,1,1,False
2020-04-12,1359.01,5745.0,1370.82,6045.32,1,1,False
2020-04-13,1397.5,5964.0,1370.82,6045.32,1,1,False
2020-04-14,1361.39,5800.0,1370.82,6045.32,1,1,False
2020-04-15,1392.36,5854.0,1370.82,6045.32,1,1,False
2020-04-16,1386.91,5928.0,1370.82,6045.32,1,1,False
2020-04-17,1399.01,5945.0,1370.82,6045.32,1,1,False
2020-04-18,1371.81,5839.0,1370.82,6045.32,1,1,False
2020-04-19,1396.73,5937.0,1370.82,6045.32,1,1,False
2020-04-20,1405.27,6010.0,1370.82,6045.32,1,1,False
2020-04-21,1384.51,5983.0,1370.82,6045.32,1,1,False
2020-04-22,1404.63,5975.0,1370.82,6045.32,1,1,False
2020-04-23,1324.85,5742.0,1370.82,6045.32,1,1,False
2020-04-24,1408.35,5864.0,1370.82,6045.32,1,1,False
2020-04-25,1407.63,6124.0,1370.82,6045.32,1,1,False
2020-04-26,1394.35,5981.0,1370.82,6045.32,1,1,False
2020-04-27,1386.48,5921.0,1370.82,6045.32,1,1,False
2020-04-28,1378.88,5902.0,1370.82,6045.32,1,1,False
2020-04-29,1390.75,5936.0,1370.82,6045.32,1,1,False
2020-04-30,1412.61,6085.0,1370.82,6045.32,1,1,False
2020-05-01,1419.42,6064.0,1370.82,6045.32,1,1,False
2020-05-02,1381.77,5938.0,1370.82,6045.32,1,1,False
2020-05-03,1383.82,5858.0,1370.82,6045.32,1,1,False
2020-05-04,1388.38,5938.0,1370.82,6045.32,1,1,False
2020-05-05,1402.77,5996.0,1370.82,6045.32,1,1,False
2020-05-06,1365.46,5798.0,1370.82,6045.32,1,1,False
2020-05-07,1371.93,5874.0,1370.82,6045.32,1,1,False
2020-05-08,1377.92,5848.0,1370.82,6045.32,1,1,False
2020-05-09,1379.06,5868.0,1370.82,6045.32,1,1,False
2020-05-10,1419.39,6028.0,1370.82,6045.32,1,1,False
2020-05-11,1440.13,6116.0,1370.82,6045.32,1,1,False
2020-05-12,1395.73,5910.0,1370.82,6045.32,1,1,False
